rank,bot,elo,matches,wins,losses,ties,win_rate,avg_score_delta,search_rate,search_conversion,prime_rate,carpet_rate,avg_carpet_len,avg_time_left
160,UNK:RachelleBot V30 | Depth: 2, Nodes:,1541.3,178,81,92,5,0.4691,-1.38,0.1013,0.4508,0.4441,0.1145,2.69,81.7
161,VenatorMuris,1539.8,339,128,203,8,0.3894,-2.78,0.1064,0.6112,0.4305,0.1379,2.27,56.3
162,UNK:Running Iterative Deepening Minimax,1539.6,189,81,94,14,0.4656,0.58,0.0000,0.0000,0.4758,0.1835,2.36,181.1
163,UNK:bot2_5 expectiminimax | depth=6 nodes=,1539.3,181,82,95,4,0.4641,-0.65,0.0986,0.6639,0.4220,0.1482,2.37,231.5
164,UNK:thoruzi (alphazero),1534.9,31,10,19,2,0.3548,-6.42,0.1960,0.5885,0.4081,0.1105,2.34,74.4
165,UNK:Turns: 40 | searches chosen: 2 | best po,1533.7,182,87,88,7,0.4973,-1.29,0.0500,0.8214,0.3703,0.1848,2.12,220.7
166,LongGameAgent,1532.7,752,308,415,29,0.4289,-3.56,0.0640,0.5816,0.4149,0.1865,2.12,39.1
167,UNK:Rat most likely at (6, 3) with p=,1531.6,31,11,16,4,0.4194,-4.06,0.1315,0.4969,0.3919,0.1524,2.24,165.4
168,UNK:I think the rat is most likely at (0, 0),1531.3,57,21,35,1,0.3772,-3.74,0.0548,0.4080,0.4456,0.1807,2.32,129.4
169,UNK:rat_catch_points=4, prime_carpet_points=,1530.8,50,24,26,0,0.4800,-1.44,0.0715,0.3916,0.4635,0.1600,2.50,20.7
170,UNK:turns=40, depth=16, nodes=128, searches=,1527.1,40,18,22,0,0.4500,-2.30,0.1406,0.5289,0.4406,0.1394,2.34,88.7
171,UNK:Turn 40 | depth: 100 | nodes: 11 | rat:,1526.3,67,34,28,5,0.5448,1.37,0.1313,0.6108,0.4354,0.1507,2.34,23.4
172,UNK:DIAGNOSTIC | Turns: 40 | Avg Depth:,1523.3,108,48,55,5,0.4676,-0.15,0.1514,0.5382,0.4190,0.1558,2.36,25.0
173,UNK:Turn 40 | depth: 100 | nodes: 16 | rat:,1522.9,31,17,13,1,0.5645,2.97,0.1403,0.5690,0.4290,0.1532,2.35,21.6
174,BeliefPeak_Bot,1522.3,898,420,452,26,0.4822,0.43,0.0644,0.7213,0.4094,0.1578,2.24,216.0
175,BaselineHMM,1521.9,464,231,215,18,0.5172,1.44,0.1585,0.5797,0.4005,0.1620,2.25,161.7
176,UNK:Rocco: HMM + negamax. max_depth=13 hist=,1518.3,238,104,121,13,0.4643,0.72,0.1641,0.5896,0.4168,0.1110,2.48,98.7
177,UNK:HMMMiniAB turns=40, depth=8, searches=,1517.6,284,143,135,6,0.5141,1.86,0.0623,0.6864,0.4353,0.1670,2.31,180.0
178,UNK:Primer depth 5, nodes 12, tt_hits 0, sea,1516.5,31,8,20,3,0.3065,-5.97,0.1750,0.5853,0.3298,0.1435,2.38,236.8
179,UNK:Turns: 40 | searches chosen: 7 | best po,1515.9,89,23,65,1,0.2640,-6.25,0.1750,0.5746,0.3258,0.1680,2.03,227.6
180,UNK:GG,1515.6,266,105,150,11,0.4154,-0.95,0.1734,0.5258,0.4090,0.1425,2.32,177.5
181,TurnSearchHits_Bot,1513.7,529,212,301,16,0.4159,-1.33,0.1044,0.5923,0.4578,0.1213,2.41,219.1
182,UNK:v10 online. Strategist search with v8 sp,1513.1,30,16,14,0,0.5333,-3.40,0.1267,0.6053,0.3733,0.1308,2.38,48.8
183,UNK:Agent: RLEE
Rat search predictions vs ac,1513.1,42,19,21,2,0.4762,-0.19,0.1333,0.5089,0.4524,0.1518,2.44,23.7
184,SearchedTimes_Bot,1513.0,184,59,121,4,0.3315,-6.40,0.0780,0.5017,0.3918,0.1647,2.18,153.3
185,GG_Bot,1512.6,1055,426,600,29,0.4175,-3.00,0.1127,0.4956,0.4053,0.1478,2.37,139.8
186,UNK:ULTIMATE_KING (alphazero) | opp=BUILDER,1512.4,53,22,30,1,0.4245,-5.60,0.1774,0.6596,0.4127,0.1094,2.41,22.4
187,GoodGameExcl,1509.4,575,312,253,10,0.5513,3.00,0.1843,0.4894,0.4050,0.1264,2.50,35.9
188,UNK:Chudlife worship,1509.3,32,12,18,2,0.4062,-4.72,0.0953,0.4836,0.4992,0.1492,2.47,99.8
189,UNK:Jack: JJ plus HMM rat tracking and oppor,1508.7,221,83,132,6,0.3891,-0.13,0.0741,0.5481,0.4322,0.1825,2.25,201.2
190,UNK:Primer depth 5, nodes 16, tt_hits 0, sea,1507.4,44,19,24,1,0.4432,-0.95,0.1727,0.5493,0.3420,0.1841,2.23,236.8
191,UNK:PotentialBot online. Carrie-style field,1507.1,32,13,17,2,0.4375,-3.66,0.1383,0.6328,0.3930,0.1375,2.35,39.0
192,UNK:ULTIMATE_KING (alphazero) | opp=BALANCED,1506.1,39,17,20,2,0.4615,-1.87,0.1647,0.6342,0.4372,0.1231,2.49,18.3
193,UNK:(Yolanda-Ultimate) Tracking rat trajecto,1505.9,47,19,28,0,0.4043,-2.30,0.1059,0.5578,0.4106,0.1399,2.23,39.9
194,UNK:PiedPiper plays the tune,1505.1,158,74,81,3,0.4778,-1.18,0.1077,0.5782,0.3919,0.1407,2.46,236.4
195,DhruvAndAllen_Cython,1504.6,1002,490,482,30,0.5040,0.57,0.0751,0.5591,0.4970,0.1586,2.34,39.1
196,CanWeFix,1501.6,316,155,152,9,0.5047,-1.03,0.1042,0.5928,0.4271,0.1649,2.25,13.2
197,Yolanda_RefinedApex,1500.0,98,31,63,4,0.3367,-5.79,0.1354,0.5426,0.4473,0.1162,2.08,122.9
198,CuriousGeorge,1499.7,360,181,172,7,0.5125,2.85,0.1383,0.5712,0.3586,0.1253,2.55,237.7
199,George_Seeking,1499.3,408,204,191,13,0.5159,2.40,0.1348,0.5774,0.3557,0.1265,2.53,237.7
200,UNK:Rat most likely at (5, 5) with p=,1499.1,32,11,21,0,0.3438,-6.28,0.1617,0.4396,0.3875,0.1414,2.38,168.5
201,UNK:ajaxquantv5 | turns=40, deepest_depth=,1497.3,125,50,70,5,0.4200,-1.75,0.1670,0.5868,0.4018,0.1640,2.12,76.7
202,UNK:Albert-Slayer Ultimate | Turns: 40, Dept,1496.2,65,23,41,1,0.3615,-5.18,0.1827,0.4084,0.4054,0.1042,2.68,66.9
203,UNK:AKIR-v,1495.5,150,59,87,4,0.4067,-2.03,0.1045,0.5279,0.4487,0.1118,2.34,60.5
204,UNK:TeamBot_v2 | evaluator=heuristic-only,1494.3,73,31,40,2,0.4384,-2.71,0.0753,0.7091,0.4349,0.1432,2.14,21.3
205,UNK:v32 Oracle Engine Online. 20-Turn Vorono,1491.3,64,21,42,1,0.3359,-4.25,0.1156,0.6892,0.4090,0.1195,2.40,22.5
206,UNK:Aanya v2.0: Deep Negamax Titan | O(1) Ev,1489.5,34,17,15,2,0.5294,2.41,0.1941,0.5379,0.4088,0.1176,2.35,6.8
207,UNK:Caligula: adaptive HMM rat hunter with a,1488.7,38,27,11,0,0.7105,11.95,0.1257,0.4817,0.4579,0.1520,2.52,233.8
208,GoodGameCapExcl,1486.6,555,256,283,16,0.4757,-2.79,0.1436,0.4980,0.4175,0.1380,2.29,73.5
209,UNK:rat_catch_points=12, prime_carpet_points,1486.4,100,45,52,3,0.4650,0.45,0.1343,0.5717,0.4295,0.1462,2.36,19.8
210,GoodGameBot,1484.4,691,281,388,22,0.4226,-3.35,0.2722,0.4515,0.3448,0.1449,2.25,8.1
211,Yolanda_Prime_v1_2,1482.3,151,50,101,0,0.3311,-6.70,0.2210,0.4921,0.3584,0.1242,2.43,237.9
212,Rattus,1481.6,390,105,271,14,0.2872,-6.38,0.0919,0.5862,0.4465,0.1316,2.40,50.1
213,AGI_2Years,1479.3,367,169,190,8,0.4714,1.10,0.1410,0.5510,0.3534,0.1243,2.53,237.7
214,UNK:RachelleBot V29 | Depth: 2, Nodes:,1477.8,39,20,18,1,0.5256,-1.21,0.0949,0.4189,0.4404,0.1205,2.55,77.2
215,Jeff,1476.2,283,118,156,9,0.4329,-1.07,0.0800,0.6634,0.4727,0.1292,2.48,67.6
216,George_Variant,1474.6,767,381,371,15,0.5065,1.49,0.1442,0.5487,0.3477,0.1239,2.52,237.7
217,UNK:rat_catch_points=8, prime_carpet_points=,1473.2,93,39,54,0,0.4194,-1.23,0.1058,0.4898,0.4379,0.1538,2.39,22.9
218,AnselEdstem,1471.8,398,206,181,11,0.5314,3.40,0.1351,0.5553,0.3567,0.1268,2.55,237.7
219,ImTired,1470.4,411,209,194,8,0.5182,1.29,0.1414,0.5706,0.3480,0.1249,2.51,237.7
220,UNK:strategy=depth2_minimax
reason=board_lin,1470.1,83,25,56,2,0.3133,-6.88,0.0657,0.6468,0.4196,0.1274,2.28,139.7
221,UNK:mode=endgame; move PLAIN(RIGHT); p=,1470.0,62,25,33,4,0.4355,-2.87,0.0630,0.6923,0.4028,0.1733,2.33,137.5
222,UNK:Nemesis-1 T40. Last=PLAIN(UP). Peak=,1469.9,35,14,21,0,0.4000,1.46,0.0471,0.6970,0.4500,0.1543,2.31,37.0
223,UNK:Join fencing, stab your friends!,1469.4,394,196,183,15,0.5165,2.63,0.1408,0.5645,0.3516,0.1268,2.55,237.7
224,UNK:RLAgent [heuristic] turns=40 depth=12 be,1468.1,64,26,37,1,0.4141,-5.69,0.2285,0.4701,0.3492,0.1520,2.30,97.5
225,UNK:Advanced_v1: quiescence search + rat pro,1466.5,42,16,26,0,0.3810,-0.93,0.1762,0.6014,0.4244,0.1405,2.32,145.3
226,ObjectiveC,1466.2,366,175,182,9,0.4904,0.05,0.1366,0.5539,0.3542,0.1246,2.54,237.7
227,THWG,1465.6,367,186,173,8,0.5177,2.38,0.1352,0.5535,0.3534,0.1253,2.54,237.7
228,AlphaBetaNodes_Bot,1464.8,842,311,509,22,0.3824,-4.31,0.2777,0.4788,0.2993,0.1496,2.26,178.1
229,YolandaG2V4,1463.4,260,112,140,8,0.4462,-1.80,0.0794,0.5048,0.4376,0.1737,2.29,61.9
230,George_Nickel,1463.0,384,181,198,5,0.4779,-0.42,0.1460,0.5634,0.3406,0.1246,2.49,237.7
231,UNK:Turns: 40 | searches chosen: 3 | best po,1462.8,217,85,125,7,0.4078,-4.70,0.0750,0.7512,0.3429,0.1820,2.07,225.9
232,UNK:Turns: 40 | searches chosen: 6 | best po,1462.3,122,32,82,8,0.2951,-6.43,0.1500,0.6148,0.3297,0.1738,1.99,229.1
233,UNK:ff,1458.6,55,24,28,3,0.4636,2.58,0.0495,0.6330,0.5109,0.1195,2.56,82.1
234,UNK:Carrie,1455.1,231,93,133,5,0.4134,-2.91,0.1760,0.5788,0.3921,0.1388,2.32,149.6
235,UNK:V39 Pragmatist | Depth: 2, Nodes:,1454.6,40,19,18,3,0.5125,-0.25,0.0344,0.6000,0.4813,0.1725,2.28,19.9
236,UNK:Played 40 turns, caught rat 4 time(s),1453.8,39,12,25,2,0.3333,-2.49,0.2109,0.4802,0.4006,0.1314,2.27,65.9
237,UNK:minimax_bot turns=40 guesses=1 acc=0% ma,1453.8,31,10,19,2,0.3548,-3.68,0.0250,0.0000,0.5008,0.1863,2.29,19.7
238,BananaPeel,1451.4,390,202,176,12,0.5333,2.22,0.1350,0.5699,0.3563,0.1251,2.54,237.7
239,Descartes,1446.1,381,179,186,16,0.4908,1.54,0.1425,0.5346,0.3486,0.1249,2.56,237.7
240,UNK:BeliefSpaceBot depth=5 nodes=0 budget=,1446.0,78,37,39,2,0.4872,1.72,0.1022,0.5737,0.4199,0.1715,2.36,216.9
241,UNK:v1.9,1445.2,132,62,66,4,0.4848,-0.27,0.1466,0.4961,0.3843,0.1318,2.23,130.2
242,George_Maybe,1444.5,372,181,186,5,0.4933,1.87,0.1400,0.5605,0.3550,0.1230,2.54,237.7
243,UNK:Well played. Probably,1444.3,359,167,183,9,0.4777,1.21,0.1431,0.5679,0.3457,0.1226,2.55,237.7
244,TurnsTimeSpent_Bot,1443.4,440,197,227,16,0.4659,0.16,0.1270,0.5749,0.3498,0.1601,2.11,217.3
245,UNK:turns=40, searches=3, hits=2, misses=1,,1443.0,32,10,19,3,0.3594,-3.12,0.0750,0.6667,0.4047,0.1828,2.12,236.3
246,Yolanda_BotLogic,1441.7,445,139,295,11,0.3247,-5.13,0.1603,0.4114,0.4019,0.1285,2.42,121.8
247,UNK:My battery is low and it's getting dark,1441.1,352,156,187,9,0.4560,0.46,0.1388,0.5788,0.3473,0.1258,2.52,237.7
248,UNK:v38 Singularity Engine Online. Uncapped,1440.9,34,11,22,1,0.3382,-5.32,0.1243,0.6509,0.3868,0.1147,2.52,0.9
249,UNK:You're trapped! Noise-Aware HMM & Iterat,1440.8,41,18,23,0,0.4390,-1.37,0.1000,0.3598,0.3762,0.1738,2.31,235.3
250,UNK:(agent5) Calculating carpet chains and r,1440.8,131,44,83,4,0.3511,-3.32,0.0567,0.6330,0.4254,0.1462,2.21,32.5
251,UNK:Turns: 40 | Rat searches — hits: 1, miss,1439.7,54,23,30,1,0.4352,-6.67,0.1213,0.2137,0.4778,0.1236,2.60,135.0
252,UNK:Rat belief peak at (0,0)  p=0.016  searc,1433.1,72,29,42,1,0.4097,-10.36,0.1750,0.4206,0.3233,0.0892,2.71,238.8
253,UNK:Depth reached:,1432.8,251,110,134,7,0.4522,-3.54,0.3157,0.4425,0.3478,0.1287,2.40,202.1
254,UNK:We are praying this works,1431.9,99,31,60,8,0.3535,-5.14,0.0346,0.5839,0.4321,0.1573,2.25,47.2
255,BetterThanSiri,1431.7,395,191,199,5,0.4899,0.24,0.1345,0.5606,0.3495,0.1213,2.50,237.7
256,UNK:Turns: 40 | searches chosen: 4 | best po,1427.3,218,71,138,9,0.3463,-5.37,0.1000,0.7007,0.3357,0.1800,2.04,226.2
257,GZHAD_Bot,1425.8,460,184,262,14,0.4152,-3.98,0.1755,0.4487,0.3945,0.1276,2.20,171.8
258,UNK:Thinking,1425.8,269,94,163,12,0.3717,-5.17,0.1442,0.4768,0.4116,0.1022,2.49,119.2
259,George_Remember,1423.5,394,186,194,14,0.4898,0.28,0.1401,0.5446,0.3531,0.1241,2.53,237.7
260,EverythingNotSaved,1423.1,397,182,204,11,0.4723,-0.10,0.1410,0.5563,0.3489,0.1243,2.52,237.7
261,UNK:Miles_Ahad_V6 is online,1422.9,132,58,72,2,0.4470,1.39,0.0848,0.5424,0.4375,0.1534,2.38,1.5
262,MIT_GT,1422.1,395,177,215,3,0.4519,0.71,0.1389,0.5555,0.3492,0.1220,2.53,237.7
263,UNK:Turn 40 | Last action: MCTS iters:,1421.4,97,49,44,4,0.5258,0.80,0.1660,0.5248,0.3838,0.1590,2.36,89.2
264,CloudmanCapital,1420.1,369,161,198,10,0.4499,0.64,0.1412,0.5554,0.3465,0.1216,2.55,237.7
265,UNK:ArjunAndGary out,1418.6,51,20,30,1,0.4020,-0.59,0.1598,0.6319,0.4250,0.1377,2.26,234.3
266,UNK:Albert-Slayer V5 | Depth: 2, Nodes:,1417.3,66,20,42,4,0.3333,-3.92,0.0481,0.4331,0.4553,0.1178,2.62,24.4
267,UNK:Agent: HJOHN
Rat search predictions vs a,1415.1,38,14,22,2,0.3947,-0.68,0.2039,0.4903,0.4217,0.1342,2.15,23.9
268,PaceMax,1413.0,504,214,276,14,0.4385,-1.81,0.1500,0.5366,0.3369,0.1686,2.12,239.7
269,UNK:TeamBot | evaluator=heuristic-only,1412.9,261,105,150,6,0.4138,-4.97,0.2199,0.5472,0.4073,0.0903,2.31,59.1
270,George_Dreams,1411.8,377,175,192,10,0.4775,1.05,0.1326,0.5780,0.3508,0.1253,2.53,237.7
271,ID_AlphaBeta_HMM,1409.8,327,108,212,7,0.3410,-4.43,0.1453,0.4574,0.4479,0.1175,2.21,57.8
272,SearchesEq_Bot,1408.0,264,77,187,0,0.2917,-7.25,0.2219,0.4959,0.3610,0.1208,2.36,222.7
273,George_Needs,1406.9,384,175,200,9,0.4674,-0.28,0.1460,0.5456,0.3479,0.1233,2.53,237.7
274,UNK:SomeRat4: mobility+steal eval + smarter,1405.1,49,15,30,4,0.3469,-2.08,0.0327,0.7031,0.4388,0.2000,2.28,75.3
275,UNK:smoooooth operatooorrr,1404.6,374,175,187,12,0.4840,0.19,0.1401,0.5597,0.3502,0.1254,2.53,237.7
276,RattleBot,1400.1,632,172,450,10,0.2801,-9.58,0.2403,0.4782,0.3650,0.0839,2.30,47.8
277,UNK:KrishBot,1393.8,50,16,33,1,0.3300,-6.68,0.2635,0.4080,0.3260,0.1345,2.37,238.0
278,UNK:ApexAgent turns=40, depth=8, belief_peak,1393.6,37,14,22,1,0.3919,-7.81,0.2446,0.4530,0.2919,0.1149,2.39,210.9
279,UNK:Turns: 40 | Rat searches — hits: 0, miss,1391.0,50,16,32,2,0.3400,-5.82,0.0420,0.0357,0.4795,0.1575,2.45,115.0
280,UNK:Turns: 40 | Rat searches — hits: 3, miss,1389.9,40,11,27,2,0.3000,-5.38,0.1925,0.3896,0.4400,0.1194,2.39,147.2
281,UNK:Turns: 40 | searches chosen: 8 | best po,1385.2,47,7,39,1,0.1596,-8.28,0.2000,0.5612,0.3266,0.1617,2.07,224.6
282,UNK:turns=40, searches=1, belief_resets=,1383.5,61,26,34,1,0.4344,-1.64,0.0250,0.7049,0.5209,0.1332,2.50,228.6
283,George_Institute,1382.9,370,180,180,10,0.5000,1.52,0.1352,0.5546,0.3523,0.1246,2.55,237.7
284,UNK:Turns played: 40, searches made: 2, last,1381.7,32,12,20,0,0.3750,-4.75,0.0500,0.7500,0.3750,0.1914,1.97,239.3
285,UNK:Turns played: 40, searches made: 3, last,1381.3,31,12,19,0,0.3871,-5.19,0.0750,0.6989,0.3645,0.1944,1.93,239.3
286,HopeForA,1380.3,841,313,505,23,0.3859,-4.30,0.1124,0.6050,0.4110,0.1430,2.29,96.9
287,UNK:Rat most likely at (1, 4) with p=,1380.3,43,15,25,3,0.3837,-9.07,0.1401,0.4772,0.3878,0.1413,2.30,159.7
288,UNK:NNAgent [NN+search] turns=40 depth=12 be,1380.1,146,54,87,5,0.3870,-4.17,0.2402,0.4326,0.3594,0.1574,2.34,97.4
289,UNK:Turns: 40 | searches chosen: 5 | best po,1376.8,208,45,155,8,0.2356,-7.12,0.1250,0.6163,0.3303,0.1816,2.03,227.1
290,UNK:turns=40, searches=3, belief_resets=,1374.3,42,18,24,0,0.4286,-0.26,0.0750,0.7222,0.4792,0.1381,2.42,212.9
291,UNK:Score:,1369.3,192,69,118,5,0.3724,-5.18,0.1201,0.5464,0.4292,0.0963,2.65,239.6
292,UNK:ByteKnight max_belief=,1364.1,41,13,27,1,0.3293,-7.24,0.1110,0.6264,0.3396,0.1055,2.40,239.8
293,UNK:Waddle! peak rat belief,1363.0,47,22,23,2,0.4894,-1.43,0.2014,0.5243,0.2842,0.1421,2.13,239.5
294,CarpetKing_Bot,1361.7,290,92,191,7,0.3293,-5.13,0.0802,0.6215,0.3828,0.1842,2.14,145.4
295,UNK:Iterative Deepening Alpha-Beta + HMM,1360.8,100,36,62,2,0.3700,-2.47,0.2263,0.4707,0.3852,0.1158,2.41,230.2
296,UNK:I am Omega. My presence guarantees your,1359.2,67,5,61,1,0.0821,-30.30,0.1608,0.5035,0.2646,0.1310,1.52,138.9
297,UNK:Turns: 40 | Rat searches — hits: 2, miss,1351.4,49,18,31,0,0.3673,-6.49,0.1444,0.3534,0.4367,0.1378,2.37,145.3
298,UNK:AKIR-SIMPLE-EXPECTIMAX,1350.5,41,19,22,0,0.4634,4.15,0.0000,0.0000,0.5024,0.1384,2.51,31.6
299,UNK:Joe4++: belief smoothing + adaptive sear,1348.7,51,24,26,1,0.4804,2.12,0.0000,0.0000,0.4049,0.1931,2.29,237.8
300,UNK:turns=40, searches=2, belief_resets=,1345.3,46,19,26,1,0.4239,1.52,0.0500,0.6739,0.4902,0.1364,2.41,216.0
301,HybridScout_Bot,1333.2,359,75,274,10,0.2228,-16.15,0.0653,0.5608,0.3483,0.1243,2.21,71.2
302,UNK:CarpetHMM. Turns played: 40. Last belief,1332.0,159,68,91,0,0.4277,-1.85,0.1717,0.4982,0.3906,0.0882,2.79,153.4
303,UNK:Played 40 turns, caught rat 3 time(s),1328.2,49,11,36,2,0.2449,-7.02,0.1857,0.4176,0.4015,0.1352,2.23,63.4
304,Yolanda3_3,1313.4,42,14,26,2,0.3571,-7.33,0.2494,0.4869,0.3446,0.1077,2.57,238.3
305,ScoreNow,1290.5,81,25,54,2,0.3210,-6.06,0.0000,0.0000,0.4926,0.1358,2.32,239.9
306,UNK:ByteChampion: HMM belief + 2-ply minimax,1287.6,162,42,117,3,0.2685,-9.54,0.1168,0.5535,0.2742,0.1366,2.12,239.6
307,UNK:Pandemonium online. Threat portfolio act,1276.0,37,8,29,0,0.2162,-13.68,0.2264,0.5015,0.3068,0.1432,2.20,229.5
308,UNK:cassie: hmm + mcts+ab hybrid [submission,1275.0,54,25,28,1,0.4722,-1.83,0.0000,0.0000,0.3634,0.2000,1.94,236.5
309,UNK:MEGAKNIGHT SMASH | jumps 40 | target (,1274.1,128,15,105,8,0.1484,-6.76,0.0912,0.4968,0.4592,0.1572,2.25,51.9
310,UNK:HMM tracker + utility planner active,1272.8,168,29,136,3,0.1815,-17.77,0.2426,0.4025,0.2987,0.1433,2.15,238.8
311,BeliefSearch_Bot,1269.1,213,74,134,5,0.3592,-0.15,0.0379,0.6316,0.3993,0.1596,2.34,239.7
312,Yolanda_Expecti,1268.4,200,47,151,2,0.2400,-11.74,0.2562,0.4854,0.2916,0.1313,1.96,151.5
313,AZAgent_Bot,1268.1,38,7,30,1,0.1974,-11.18,0.2572,0.4476,0.2967,0.1454,2.18,102.8
314,UNK:fweh!,1253.6,43,18,24,1,0.4302,0.19,0.0000,0.0000,0.3407,0.1872,1.95,168.0
315,Hubert_Skeletrix,1245.2,80,27,50,3,0.3563,-4.50,0.1266,0.2593,0.3762,0.1684,2.29,239.0
316,UNK:Played 40 turns, caught rat 2 time(s),1241.8,38,6,31,1,0.1711,-15.11,0.2039,0.2581,0.4059,0.1316,2.29,63.5
317,UNK:Turns played: 40 | Rat belief: max P=,1230.5,33,6,26,1,0.1970,-8.64,0.2417,0.4420,0.3712,0.1356,2.28,232.8
318,ImprovedAgent,1216.8,41,7,33,1,0.1829,-12.32,0.2878,0.4492,0.3470,0.1348,1.86,234.4
319,UNK:Rat belief at end of game:
0.00 0.00,1207.6,116,36,80,0,0.3103,-8.24,0.1716,0.4786,0.3308,0.0888,2.66,240.0
320,Baseline_vN,1190.1,40,5,35,0,0.1250,-12.00,0.1006,0.6770,0.3944,0.1338,1.96,44.2
321,UNK:build lanes, cash carpets,1157.8,40,16,24,0,0.4000,-1.30,0.0550,0.2614,0.4037,0.0831,2.80,239.3
322,RatBeliefPeak_Bot,1149.4,209,61,144,4,0.3014,-8.98,0.0879,0.5116,0.3508,0.1083,2.06,240.0
323,BotSummary_Bot,1136.4,171,17,154,0,0.0994,-20.74,0.0224,0.7778,0.3346,0.1547,1.85,21.5
324,UNK:gl hf,1127.7,52,17,35,0,0.3269,-37.02,0.6861,0.1600,0.1892,0.0448,2.92,55.1
325,Johnson_Agent,1000.1,38,7,31,0,0.1842,-21.58,0.0908,0.4058,0.1151,0.0401,1.67,236.3
326,UNK:bro wtf,971.9,117,37,79,1,0.3205,-6.83,0.0000,0.0000,0.3094,0.1188,2.03,240.0
327,UNK:depth=10, eval=10000.00, best_search_ev=,523.9,109,0,109,0,0.0000,-9.74,0.1966,0.4469,0.3993,0.1463,2.24,214.1
